axis,severity,arm,auroc,bal_acc,ece,n_recordings,ci_lo,ci_hi,backbone,probe,seed
bandwidth,30,canonicalized,0.901905,0.801111,0.130286,276,0.864333,0.934603,eegpt,mlp,7
bandwidth,40,canonicalized,0.901905,0.807778,0.124839,276,0.864701,0.934396,eegpt,mlp,7
bandwidth,50,canonicalized,0.901481,0.804444,0.124376,276,0.864278,0.934132,eegpt,mlp,7
bandwidth,64,canonicalized,0.902328,0.785714,0.147722,276,0.864761,0.934927,eegpt,mlp,7
bandwidth,80,canonicalized,0.902116,0.783016,0.152184,276,0.865708,0.934659,eegpt,mlp,7
broadband,-5,canonicalized,0.71037,0.519048,0.137532,276,0.646776,0.770589,eegpt,linear,7
broadband,-5,naive,0.71037,0.519048,0.137532,276,0.646776,0.770589,eegpt,linear,7
broadband,0,canonicalized,0.790159,0.627619,0.112921,276,0.735147,0.8418,eegpt,linear,7
broadband,0,naive,0.790159,0.627619,0.112921,276,0.735147,0.8418,eegpt,linear,7
broadband,10,canonicalized,0.878466,0.761111,0.105312,276,0.837987,0.917144,eegpt,linear,7
broadband,10,naive,0.878466,0.761111,0.105312,276,0.837987,0.917144,eegpt,linear,7
broadband,20,canonicalized,0.903386,0.81127,0.087101,276,0.864362,0.935081,eegpt,linear,7
broadband,20,naive,0.903386,0.81127,0.087101,276,0.864362,0.935081,eegpt,linear,7
broadband,5,canonicalized,0.845132,0.704286,0.096597,276,0.802061,0.886512,eegpt,linear,7
broadband,5,naive,0.845132,0.704286,0.096597,276,0.802061,0.886512,eegpt,linear,7
calibration,0.5,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926,eegpt,linear,7
calibration,0.5,naive,0.801905,0.720635,0.14383,276,0.751821,0.851073,eegpt,linear,7
calibration,0.75,canonicalized,0.887619,0.81381,0.059295,276,0.844284,0.924926,eegpt,linear,7
calibration,0.75,naive,0.834656,0.768254,0.076451,276,0.785713,0.880111,eegpt,linear,7
calibration,1,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926,eegpt,linear,7
calibration,1,naive,0.85254,0.780476,0.071175,276,0.806021,0.896721,eegpt,linear,7
calibration,1.5,canonicalized,0.887619,0.81381,0.059295,276,0.844284,0.924926,eegpt,linear,7
calibration,1.5,naive,0.843016,0.789683,0.074458,276,0.794753,0.889208,eegpt,linear,7
calibration,2,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926,eegpt,linear,7
calibration,2,naive,0.80963,0.723492,0.125691,276,0.759922,0.85916,eegpt,linear,7
montage,bipolar18,canonicalized,0.860741,0.755873,0.141434,276,0.814321,0.904393,eegpt,linear,7
montage,bipolar18,naive,0.860476,0.755238,0.136047,276,0.811255,0.905451,eegpt,linear,7
montage,full19,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926,eegpt,linear,7
montage,full19,naive,0.887619,0.81381,0.053498,276,0.844284,0.924926,eegpt,linear,7
montage,legacy16,canonicalized,0.879841,0.735714,0.171026,276,0.837829,0.91831,eegpt,linear,7
montage,legacy16,naive,0.891587,0.717619,0.198193,276,0.853638,0.927997,eegpt,linear,7
power_line,0,canonicalized,0.887619,0.81381,0.053498,276,0.844284,0.924926,eegpt,linear,7
power_line,0,naive,0.782593,0.758413,0.10988,276,0.723161,0.839209,eegpt,linear,7
power_line,15,canonicalized,0.887513,0.81381,0.058281,276,0.844336,0.924341,eegpt,linear,7
